year,quarter,sector,company_size,revenue_m_eur,ai_use_case,deployment_type,days_diagnostic,days_poc,days_to_deployment,investment_eur,roi,time_saved_hours_month,revenue_increase_percent,human_in_loop
2025,q2,manufacturing,eti,46.1,quality control vision,hybrid,19,52,179,205778,214.6,765,0.0,1
2024,q4,finance,pme,14.4,document processing,analytics,6,20,88,21879,97.5,89,0.0,1
2025,q2,manufacturing,grande,156.1,pricing optimization,vision,40,123,461,499031,163.9,762,18.0,1
2023,q2,sante,pme,3.9,process automation,hybrid,13,37,93,35603,202.3,617,0.0,1
2023,q4,manufacturing,pme,13.1,pricing optimization,hybrid,3,14,98,8346,3.8,0,0.0,1
2022,q4,manufacturing,eti,23.3,predictive analytics,vision,34,64,161,250000,11.6,0,0.0,1
2023,q4,finance,eti,57.3,sales automation,vision,19,49,220,120319,388.9,156,20.7,1
2024,q4,services pro,pme,1.5,fraud detection,vision,14,28,82,17505,-25.5,0,0.0,1
2025,q2,finance,grande,106.5,document processing,automation,43,101,372,463711,74.6,633,0.0,1
2024,q1,services pro,pme,3.1,customer service bot,hybrid,6,41,112,17154,61.1,562,0.0,1
2025,q1,construction,eti,46.2,process automation,vision,30,38,254,98112,81.6,201,0.0,1
2024,q3,logistique,pme,8.3,customer service bot,hybrid,3,33,72,21459,49.8,65,0.0,0
2025,q3,finance,eti,26.1,quality control vision,automation,36,45,146,181860,371.4,681,0.0,1
2024,q3,logistique,pme,6.5,document processing,hybrid,7,43,74,12673,162.2,502,0.0,1
2023,q1,energie,eti,77.4,document processing,automation,11,62,188,83847,58.9,327,0.0,1
2025,q1,logistique,grande,356.7,process automation,automation,78,69,345,292304,160.5,371,0.0,1
2025,q1,sante,eti,62.9,process automation,hybrid,8,32,231,79929,237.7,777,0.0,0
2024,q1,logistique,pme,10.4,fraud detection,nlp,2,16,118,19752,-17.0,0,0.0,1
2025,q2,agroalimentaire,eti,66.9,document processing,analytics,44,66,207,111252,108.5,357,0.0,1
2023,q1,services pro,grande,363.9,predictive analytics,automation,68,94,490,405071,241.2,625,0.0,1
2025,q2,finance,eti,50.1,quality control vision,nlp,11,71,133,46740,128.3,102,0.0,1
2025,q1,finance,eti,25.4,customer service bot,nlp,7,44,228,66340,291.8,591,0.0,1
2025,q4,finance,pme,8.6,customer service bot,nlp,12,39,60,26503,2.2,0,0.0,1
2024,q2,retail,pme,10.9,quality control vision,nlp,10,25,107,33160,28.0,457,0.0,1
2025,q3,services pro,eti,16.5,predictive analytics,automation,31,38,224,88538,196.9,68,0.0,1
2023,q1,logistique,eti,42.4,document processing,vision,36,37,181,63631,198.9,280,0.0,1
2023,q1,finance,grande,470.4,predictive analytics,hybrid,33,162,330,223440,215.9,729,0.0,1
2023,q4,finance,pme,3.3,pricing optimization,vision,10,43,64,11047,165.4,370,23.3,1
2022,q2,manufacturing,pme,9.1,quality control vision,vision,6,37,65,21629,94.8,665,0.0,1
2025,q1,services pro,eti,57.5,customer service bot,hybrid,28,57,265,56737,179.7,428,0.0,1
2022,q2,energie,eti,50.7,customer service bot,nlp,25,39,261,56685,58.7,68,0.0,1
2022,q3,logistique,eti,47.3,fraud detection,hybrid,13,49,233,99902,109.8,622,0.0,1
2025,q1,finance,eti,40.4,predictive analytics,vision,24,53,134,109766,228.5,235,0.0,1
2025,q2,services pro,pme,3.6,document processing,vision,4,33,81,18247,67.9,264,0.0,1
2022,q3,agroalimentaire,grande,292.2,fraud detection,automation,55,178,450,383054,51.5,581,0.0,0
2023,q1,finance,eti,34.3,sales automation,nlp,11,75,268,43758,297.9,108,2.6,1
2024,q2,manufacturing,grande,394.5,process automation,automation,80,116,534,476106,12.8,0,0.0,1
2024,q4,energie,pme,13.2,pricing optimization,hybrid,2,23,99,21449,231.0,457,3.3,1
2024,q3,manufacturing,grande,253.4,pricing optimization,analytics,55,65,469,682910,212.4,647,0.5,0
2025,q4,telecom,pme,10.1,document processing,hybrid,9,16,74,7013,13.9,0,0.0,0
2025,q3,retail,pme,2.6,quality control vision,automation,5,27,76,10553,212.2,595,0.0,1
2022,q4,finance,grande,320.1,quality control vision,vision,84,115,307,377947,109.3,122,0.0,1
2023,q4,logistique,grande,332.3,pricing optimization,automation,60,136,289,392872,188.5,777,9.9,1
2023,q4,finance,eti,53.4,quality control vision,automation,7,43,125,146187,10.9,0,0.0,1
2022,q4,sante,eti,60.6,predictive analytics,analytics,11,46,179,128808,197.9,660,0.0,1
2023,q3,services pro,pme,2.0,document processing,nlp,5,34,108,28159,214.8,270,0.0,1
2024,q3,manufacturing,eti,53.6,customer service bot,nlp,12,36,143,165403,162.4,85,0.0,1
2023,q1,sante,grande,386.3,process automation,vision,53,162,379,711958,158.0,371,0.0,1
2025,q4,logistique,pme,6.5,process automation,vision,7,30,90,14706,116.5,25,0.0,1
2022,q4,logistique,eti,54.4,customer service bot,vision,29,63,135,105418,90.1,741,0.0,1
2022,q1,manufacturing,pme,5.4,quality control vision,nlp,3,43,78,32360,257.9,140,0.0,1
2025,q3,services pro,eti,38.2,customer service bot,hybrid,14,33,171,40427,-22.5,0,0.0,1
2024,q2,retail,eti,55.5,process automation,nlp,24,73,142,110446,89.9,49,0.0,1
2024,q1,services pro,pme,13.3,document processing,automation,14,29,65,39303,28.1,364,0.0,1
2024,q1,sante,pme,14.7,customer service bot,vision,12,37,94,16308,-17.2,0,0.0,1
2024,q2,construction,pme,7.9,quality control vision,analytics,13,30,97,16250,15.1,792,0.0,1
2022,q3,construction,pme,11.5,process automation,hybrid,11,18,105,32616,-9.6,0,0.0,1
2025,q1,retail,pme,10.9,quality control vision,hybrid,3,40,100,20010,91.9,540,0.0,1
2023,q4,energie,pme,7.0,predictive analytics,hybrid,9,40,92,37750,92.7,452,0.0,1
2023,q1,manufacturing,eti,67.3,sales automation,vision,12,76,160,104135,133.6,267,0.0,1
2024,q3,finance,pme,9.4,fraud detection,automation,6,43,64,16537,225.3,349,0.0,1
2022,q3,agroalimentaire,eti,47.1,process automation,vision,31,72,120,144404,84.6,567,0.0,1
2024,q2,finance,eti,21.8,sales automation,vision,39,58,136,73659,145.9,589,19.4,1
2023,q4,logistique,pme,10.3,customer service bot,analytics,6,33,83,13191,9.1,0,0.0,1
2023,q2,finance,eti,36.9,sales automation,automation,11,54,193,250000,247.9,263,23.2,1
2022,q1,manufacturing,grande,112.1,pricing optimization,automation,37,91,274,440718,3.2,0,0.0,1
2024,q4,sante,eti,65.9,process automation,hybrid,22,48,129,80723,49.3,632,0.0,0
2022,q1,services pro,grande,166.1,customer service bot,vision,67,167,498,440831,195.3,758,0.0,1
2022,q2,telecom,eti,19.0,process automation,nlp,7,67,187,86624,101.5,649,0.0,1
2022,q2,services pro,pme,13.2,fraud detection,vision,13,34,68,18061,1.6,408,0.0,1
2023,q1,agroalimentaire,eti,43.4,predictive analytics,nlp,44,41,238,105171,96.5,519,0.0,1
2025,q2,finance,eti,54.2,quality control vision,nlp,36,52,202,45649,355.8,334,0.0,0
2023,q3,finance,grande,466.2,predictive analytics,automation,32,151,370,509282,401.5,459,0.0,1
2023,q1,telecom,pme,14.7,pricing optimization,nlp,12,37,73,29788,221.7,459,12.8,1
2024,q3,energie,pme,14.3,fraud detection,hybrid,7,38,88,22084,-15.2,0,0.0,0
2025,q3,manufacturing,pme,6.0,customer service bot,hybrid,12,34,69,14584,-3.4,0,0.0,1
2024,q4,finance,pme,4.6,sales automation,hybrid,5,21,60,33084,411.6,657,5.4,1
2025,q4,sante,grande,400.2,sales automation,hybrid,38,105,381,320686,15.0,760,19.0,1
2024,q3,services pro,eti,39.0,process automation,nlp,33,72,189,146405,154.3,281,0.0,0
2024,q3,energie,eti,43.3,fraud detection,automation,18,58,196,62428,112.0,96,0.0,1
2024,q4,manufacturing,eti,18.4,process automation,hybrid,34,81,146,30000,257.0,641,0.0,1
2025,q3,services pro,eti,55.8,document processing,vision,14,31,178,51244,196.0,212,0.0,1
2024,q3,finance,pme,2.3,pricing optimization,vision,14,38,104,25181,-24.3,0,0.0,1
2024,q3,logistique,eti,48.8,pricing optimization,analytics,30,61,231,74367,146.1,741,2.1,1
2022,q2,telecom,eti,32.4,customer service bot,analytics,21,63,187,125415,245.1,752,0.0,1
2023,q1,logistique,eti,41.5,process automation,hybrid,29,45,187,51375,155.0,99,0.0,1
2024,q3,manufacturing,pme,12.4,pricing optimization,vision,7,36,60,39428,235.8,596,0.4,1
2023,q4,retail,pme,6.3,customer service bot,analytics,4,32,95,20534,230.9,633,0.0,1
2025,q4,manufacturing,pme,2.4,customer service bot,automation,13,32,92,26992,150.1,570,0.0,1
2025,q4,manufacturing,eti,42.3,pricing optimization,analytics,29,42,208,175788,125.7,28,12.3,0
2025,q4,finance,eti,58.2,pricing optimization,analytics,37,71,136,49406,382.1,635,9.2,0
2023,q2,agroalimentaire,pme,5.2,fraud detection,automation,6,42,64,23495,-22.0,0,0.0,1
2023,q3,finance,eti,42.9,pricing optimization,hybrid,34,73,197,30132,291.2,494,7.4,1
2023,q4,manufacturing,pme,9.2,predictive analytics,hybrid,7,37,112,37911,4.8,0,0.0,1
2025,q1,agroalimentaire,pme,4.3,quality control vision,nlp,13,20,90,6760,122.0,217,0.0,1
2025,q1,telecom,eti,71.8,process automation,analytics,11,47,199,70935,-26.7,0,0.0,0
2025,q4,manufacturing,eti,50.5,process automation,hybrid,24,60,268,76969,111.4,312,0.0,1
2025,q2,finance,pme,4.4,sales automation,automation,6,33,65,18960,104.3,611,0.4,1
2024,q3,telecom,pme,13.5,quality control vision,nlp,13,37,95,45000,121.4,578,0.0,1
2023,q3,retail,pme,13.1,sales automation,vision,11,37,93,16568,86.3,516,22.4,1
2024,q2,manufacturing,grande,171.9,document processing,nlp,69,157,480,590480,47.2,46,0.0,0
2022,q2,retail,eti,65.9,process automation,analytics,26,74,185,95547,36.1,769,0.0,0
2022,q4,energie,pme,10.3,predictive analytics,nlp,11,23,67,9996,127.7,591,0.0,1
2024,q3,finance,eti,75.3,sales automation,nlp,19,61,151,116210,301.0,311,28.3,1
2024,q1,manufacturing,eti,19.5,sales automation,analytics,35,78,182,61319,9.0,0,0.0,1
2025,q2,telecom,grande,462.3,document processing,nlp,54,78,424,485317,213.4,85,0.0,1
2024,q3,sante,grande,290.7,predictive analytics,analytics,74,94,486,417309,-12.6,0,0.0,1
2025,q1,manufacturing,eti,20.5,predictive analytics,nlp,9,42,154,66491,246.5,253,0.0,1
2023,q1,finance,pme,5.6,document processing,hybrid,4,41,106,14281,188.0,256,0.0,1
2025,q1,finance,pme,7.7,pricing optimization,nlp,12,15,85,23601,304.8,675,29.7,0
2024,q4,manufacturing,pme,10.4,document processing,vision,10,34,67,21644,213.7,714,0.0,1
2024,q2,manufacturing,eti,56.9,document processing,vision,28,52,219,44562,204.0,743,0.0,0
2023,q3,services pro,pme,14.2,fraud detection,analytics,6,36,94,13746,264.4,506,0.0,1
2023,q4,finance,pme,7.7,pricing optimization,hybrid,3,29,115,11269,174.7,140,14.6,1
2025,q1,services pro,grande,377.4,customer service bot,hybrid,70,151,282,702216,-16.1,0,0.0,0
2025,q3,agroalimentaire,grande,268.6,process automation,vision,73,73,434,365457,18.7,204,0.0,1
2023,q2,services pro,grande,213.6,quality control vision,analytics,61,153,333,330885,167.5,267,0.0,1
2024,q2,agroalimentaire,grande,463.4,document processing,nlp,57,141,416,901652,16.8,0,0.0,1
2022,q1,manufacturing,grande,180.8,fraud detection,vision,46,100,391,298572,-27.2,0,0.0,1
2024,q2,retail,eti,70.6,customer service bot,vision,35,47,164,195925,76.4,398,0.0,1
2022,q3,telecom,grande,262.2,quality control vision,automation,53,102,282,520515,171.0,565,0.0,1
2022,q3,services pro,grande,416.4,quality control vision,nlp,64,115,302,960490,159.8,463,0.0,1
2024,q1,finance,grande,1500.0,customer service bot,nlp,90,180,540,13333333,200.0,800,0.0,1
2024,q2,retail,grande,130000.0,customer service bot,nlp,90,180,540,60000000,150.0,0,0.0,1
2024,q3,education,eti,1000.0,process automation,automation,28,50,163,400000,150.0,0,0.0,1
2024,q2,retail,grande,560000.0,supply chain optimization,predictive analytics,60,105,340,2000000,150.0,0,0.0,1
2024,q1,media,grande,30000.0,personalization engine,analytics,60,105,340,2000000,150.0,0,0.0,1
2024,q2,finance,grande,120000.0,process automation,hybrid,60,105,340,2000000,150.0,0,20.0,1
2024,q3,finance,grande,30000.0,fraud detection,analytics,60,105,340,2000000,150.0,0,0.0,1
2023,q1,media,eti,13.6,process automation,hybrid,49,45,228,336299,-11.4,0,0.0,1
2022,q2,retail,pme,4.4,fraud detection,hybrid,42,57,234,23918,57.7,53,0.0,1
2024,q2,services pro,pme,2.8,quality control vision,nlp,26,79,167,45159,251.3,147,0.0,1
2022,q1,telecom,pme,8.5,process automation,analytics,11,60,246,49684,37.9,800,0.0,1
2024,q3,media,pme,3.9,process automation,analytics,10,88,185,44896,-15.1,281,0.0,0
2025,q3,agroalimentaire,pme,9.2,customer service bot,analytics,20,29,138,82561,86.8,189,0.0,1
2024,q3,manufacturing,pme,4.2,pricing optimization,vision,41,149,397,55844,161.0,95,7.4,1
2024,q4,automotive,grande,358.0,chatbot,hybrid,81,54,443,4341315,145.3,15,0.0,1
2025,q2,insurance,eti,44.8,personalization engine,analytics,58,30,343,500000,5.9,93,0.0,1
2025,q4,manufacturing,pme,1.2,sales automation,hybrid,31,38,256,52125,170.1,239,0.0,1
2022,q1,manufacturing,grande,134.3,risk assessment,vision,75,83,483,1598623,-24.4,0,0.0,1
2023,q3,services pro,pme,3.2,sentiment analysis,hybrid,12,30,298,30911,106.8,0,0.0,1
2025,q3,insurance,eti,19.1,pricing optimization,hybrid,100,19,221,302619,-4.2,278,30.0,0
2024,q3,retail,eti,17.9,supply chain optimization,nlp,87,77,213,296270,252.1,162,0.0,1
2023,q1,media,pme,7.0,chatbot,nlp,43,37,309,54393,45.5,256,0.0,1
2025,q4,technology,grande,413.4,customer service bot,analytics,100,103,472,1775875,-2.8,211,0.0,1
2023,q3,logistique,eti,50.6,sales automation,automation,25,66,281,491645,12.7,81,0.0,1
2024,q1,services pro,pme,9.9,process automation,analytics,17,92,141,45658,26.5,252,0.0,1
2025,q1,agroalimentaire,grande,254.4,risk assessment,vision,51,171,315,2185993,-10.1,0,0.0,1
2023,q2,retail,pme,19.0,predictive analytics,automation,3,73,262,100000,-24.0,122,0.0,1
2023,q1,pharma,pme,6.0,customer service bot,vision,14,156,221,46696,80.4,0,0.0,1
2024,q1,insurance,pme,4.3,inventory management,hybrid,54,152,229,53906,-30.0,0,10.5,0
2022,q2,insurance,grande,130.2,sentiment analysis,vision,48,107,279,2614584,31.8,0,0.0,1
2024,q4,manufacturing,eti,18.2,fraud detection,hybrid,15,70,571,60944,1.7,239,0.0,0
2024,q3,manufacturing,grande,53.5,predictive analytics,nlp,37,125,274,1025273,23.4,0,0.0,0
2023,q2,retail,pme,2.6,inventory management,vision,16,93,116,49323,12.9,0,0.0,0
2025,q2,agroalimentaire,grande,142.2,risk assessment,nlp,68,40,157,1472623,17.5,0,0.0,1
2024,q3,sante,eti,25.0,sentiment analysis,automation,100,112,275,319412,91.7,58,0.0,1
2023,q2,pharma,pme,2.4,pricing optimization,analytics,25,30,161,62671,-15.0,0,0.0,1
2023,q3,logistique,eti,22.9,supply chain optimization,vision,30,73,363,258928,18.5,0,0.0,1
2024,q3,manufacturing,grande,165.4,fraud detection,hybrid,100,138,741,1915961,35.3,85,0.0,0
2024,q2,retail,eti,5.1,customer service bot,analytics,80,94,226,151225,49.8,0,0.0,1
2024,q1,energie,grande,191.2,quality control vision,nlp,26,61,314,2475372,27.3,800,0.0,1
2024,q4,technology,grande,107.3,pricing optimization,nlp,21,94,142,2265202,44.7,128,0.0,1
2025,q3,manufacturing,pme,29.6,fraud detection,nlp,100,72,306,100000,-18.7,64,0.0,1
2023,q3,logistique,eti,26.9,sales automation,analytics,62,15,122,169694,-13.6,181,30.0,1
2023,q1,automotive,eti,18.7,risk assessment,hybrid,42,10,481,102906,-27.8,21,0.0,1
2023,q4,construction,eti,21.8,customer service bot,automation,42,55,179,296925,186.2,124,0.0,1
2023,q4,automotive,eti,12.3,quality control vision,hybrid,19,127,189,148206,-9.4,256,0.0,1
2023,q3,pharma,grande,99.3,pricing optimization,vision,52,30,470,1427749,84.0,0,0.0,1
2024,q3,energie,eti,33.8,supply chain optimization,vision,8,48,380,465886,-3.3,0,0.0,1
2024,q1,sante,pme,2.3,customer service bot,analytics,86,51,235,38716,39.8,0,0.0,0
2024,q1,manufacturing,eti,27.6,document processing,analytics,36,97,186,426214,29.6,0,0.4,1
2022,q3,finance,eti,15.3,pricing optimization,analytics,9,136,229,220311,7.0,263,0.0,0
2025,q3,construction,pme,8.5,personalization engine,automation,21,191,275,31801,-26.4,423,15.2,1
2023,q1,telecom,pme,8.5,personalization engine,nlp,14,84,207,100000,-27.1,248,0.0,1
2025,q4,services pro,grande,102.1,demand forecasting,hybrid,73,28,391,3270910,-26.4,0,7.6,1
2025,q2,sante,pme,2.2,demand forecasting,vision,14,119,210,31038,28.7,128,0.0,1
2024,q4,telecom,pme,3.4,inventory management,hybrid,26,36,320,61460,107.8,143,0.0,1
2023,q1,manufacturing,pme,3.6,process automation,nlp,28,42,311,41534,24.1,476,0.0,0
2024,q3,retail,eti,20.0,customer service bot,hybrid,34,122,278,321078,80.4,0,0.4,0
2024,q3,energie,eti,9.8,process automation,hybrid,21,71,341,173305,30.9,0,6.1,1
2024,q4,insurance,pme,5.5,risk assessment,analytics,41,126,367,26652,1.6,24,0.0,1
2025,q2,technology,eti,44.6,sales automation,hybrid,55,70,229,397757,25.2,0,0.0,1
2025,q2,agroalimentaire,pme,3.4,customer service bot,hybrid,96,146,433,51998,17.5,499,0.0,1
2024,q1,automotive,eti,12.5,process automation,automation,45,79,161,108342,28.8,0,0.0,0
2024,q4,telecom,eti,26.6,process automation,analytics,88,47,200,393153,228.1,617,3.0,1
2023,q2,finance,pme,5.8,fraud detection,vision,14,63,542,57988,7.5,240,0.0,1
2025,q2,pharma,pme,2.6,inventory management,nlp,11,68,85,39037,-20.2,17,1.8,1
2023,q2,automotive,eti,34.3,process automation,vision,33,108,307,306377,47.6,464,0.0,1
2022,q4,automotive,eti,55.4,fraud detection,nlp,27,62,265,500000,-4.6,180,0.0,1
2025,q1,automotive,grande,179.8,inventory management,analytics,46,47,425,2817158,13.9,0,0.0,1
2024,q4,manufacturing,eti,167.8,document processing,nlp,9,77,223,500000,35.8,0,2.4,1
2024,q4,media,pme,5.1,process automation,automation,33,32,157,35181,254.5,381,0.0,1
2023,q3,insurance,pme,28.4,sales automation,analytics,29,113,176,100000,-8.0,0,0.0,1
2025,q4,construction,eti,19.0,quality control vision,hybrid,18,200,391,57128,-19.1,167,0.0,1
2024,q3,agroalimentaire,eti,260.8,pricing optimization,analytics,45,151,254,500000,-4.1,0,7.9,1
2023,q2,finance,grande,398.0,quality control vision,automation,100,110,286,2344761,62.9,0,3.3,0
2023,q4,services pro,grande,257.5,demand forecasting,vision,84,164,322,1851039,-17.1,0,0.0,0
2024,q3,services pro,eti,30.7,predictive analytics,nlp,2,65,265,129177,-18.9,0,0.0,1
2025,q2,automotive,pme,2.0,fraud detection,nlp,32,49,176,59521,15.2,0,0.0,1
2023,q1,finance,eti,55.5,sentiment analysis,analytics,74,40,333,500000,2.4,0,3.2,1
2024,q3,construction,eti,11.5,inventory management,vision,36,57,123,145025,-21.2,0,11.2,0
2024,q3,energie,grande,240.1,predictive analytics,nlp,16,71,601,3151867,22.7,58,27.2,1
2025,q4,manufacturing,eti,69.2,chatbot,vision,54,53,234,282776,36.2,0,0.0,1
2022,q2,services pro,grande,356.3,supply chain optimization,automation,42,92,168,4674433,19.3,0,0.0,1
2023,q2,media,pme,4.4,quality control vision,analytics,9,11,162,46791,28.3,89,5.6,1
2024,q4,technology,pme,22.4,document processing,hybrid,40,18,170,100000,4.7,409,4.3,1
2023,q2,telecom,pme,1.9,fraud detection,hybrid,76,52,339,47648,4.0,0,0.0,1
2023,q4,retail,grande,112.8,predictive analytics,vision,100,148,288,2685748,18.2,77,0.0,1
2022,q3,manufacturing,eti,47.7,chatbot,nlp,14,67,437,295077,20.9,312,19.2,1
